offer_id,name_of_offer,offer_type,reward,cost,offer-description,isBundle,BundleDuration,imageOverride,imageOverrideSize,stockpile,tags,overlayPng,customReq,overlayOpacity,backgroundImage,backgroundOpacity
uaf_oppenheimer,Oppenheimer's Dream,WEAPON,uaf_semibreve_base:1:WEAPON,points:3000:POINTS,"A strategic-level twin-tube torpedo launcher capable of firing the infamous Semibreve nuclear torpedoes. Utilising nuclear warheads that contain a mixture of Shinonian Particles and reverse engineered volatile materials found on Reaper torpedoes, the highly volatile unguided, high-speed torpedoes are capable of releasing an extremely high energy damage over a large area, with secondary bursts dealing additional damages to anything that survives the initial hit. The highly destructive weapon system remains the Auroran key weapon in fighting high-level threats where conventional weapons and approaches might not be sufficient.",false,0,,,3:200,uaf_reputation_WELCOMING,,,,,
uaf_meitou_chorus,Oppenheimer's Guidance,WEAPON,uaf_meitou_chorus_nt:1:WEAPON,points:2000:POINTS,"A tactical-level anti-air missile system modified from the regular Chorus AAM system. Instead of regular explosive warheads, the anti-air missiles contain miniature Meitou nuclear warheads for dealing with large groups of missiles and aircrafts. The guidance and tracking system is also hugely improved in this experimental system, making the Meitou Chorus AAMX to be an extremely capable and deadly weapon system in eliminating air, missile and even smallcraft threats through radical solutions. ",false,0,,,2:200,uaf_reputation_FRIENDLY,,,,,
uaf_sakura_mlrs,Sakura Petals,WEAPON,uaf_missile_barrage_catapult:1:WEAPON,points:525:POINTS,"A large multi-launch rocket system derived from the Sakura vertical launch system missile batteries used onboard the dreadnought Solvernia. It is capable of firing twelve guided micro missiles within a single salvo to saturate and overwhelm any point defenses. The system’s quick firing rate, fast travel speed and impressive magazine size made it an extremely effective weapon in its intended role and thus, highly sought after by captains wanting to ensure successful delivery of their Breve missiles.",false,0,,,2:200,uaf_reputation_WELCOMING,,,,,
uaf_downstream_xlc,Aggressive Firework Display,WEAPON,uaf_downstream_xlc:1:WEAPON,points:350:POINTS,"A pair of large-calibre anti-capital 808mm Downstream naval guns mounted in a twin turret, capable of both anti-air and anti-ship duties. Considered a station-class weapon, the cannons fire air-burst explosive shells in dealing with both strikecrafts and capital ships, with the explosive being enough to tear through anything in its way. The weight and reconfiguration of the shells did reduce the guns’ effective range to that of the standard large-calibre naval guns within Auroran’s service rather than the expected range of an 808mm shell.",false,0,,,2:200,uaf_reputation_FAVORABLE,,,,,
uaf_enyria_pdx,Triyia's Evil Twin,WEAPON,uaf_enyria_pdx:1:WEAPON,points:150:POINTS,"An improved version of the reliable Triyia series of point defence systems, utilising the newly developed energy-based shells in dealing with advanced air threats. Armed with a pair of Enyria 30mm autocannons, it is capable of intercepting strikecrafts and missiles whilst delivering EMP damages as well whilst retaining the same effectiveness and Chorus AAM twin launchers as the physical-based Triyia 30mm CIWS.",false,0,,,4:200,uaf_reputation_FAVORABLE,,,,,
uaf_axia_type_i,Hybrid Firepower I,WEAPON,uaf_axia_type_i:1:WEAPON,points:25:POINTS,"The small sibling of the Axia positron shock cannon series, one of the latest Auroran experimental weapon systems to integrate the lessons from studying Sector’s advanced weaponry. The dual small-calibre cannons target their marks through an unique highly accurate two-stage strike, starting with “heat-up” laser-like damage before delivering high impact energy shells onto their target. However, the high flux demands and requirement of complicated systems in utilising these weapons resulted in their slow rate of fire and expensive ordnance points. 
The Type 1 turrets are best used as smallcrafts’ primary guns or as anti-smallcraft guns on larger ships. 
",false,0,,,4:200,uaf_reputation_FAVORABLE,,,,,
uaf_axia_type_ii,Hybrid Firepower II,WEAPON,uaf_axia_type_ii:1:WEAPON,points:75:POINTS,"The middle sibling of the Axia positron shock cannon series, one of the latest Auroran experimental weapon systems to integrate the lessons from studying Sector’s advanced weaponry. The dual medium-calibre cannons target their marks through an unique highly accurate two-stage strike, starting with “heat-up” laser-like damage before delivering high impact energy shells onto their target. However, the high flux demands and requirement of complicated systems in utilising these weapons resulted in their slow rate of fire and expensive ordnance points. 
The Type 2 turrets are commonly used as primary guns for cruiser-sized warships or as secondary guns of capital ships. 
",false,0,,,4:200,uaf_reputation_FAVORABLE,,,,,
uaf_axia_type_iii,Hybrid Firepower III,WEAPON,uaf_axia_type_iii:1:WEAPON,points:150:POINTS,"The middle sibling of the Axia positron shock cannon series, one of the latest Auroran experimental weapon systems to integrate the lessons from studying Sector’s advanced weaponry. The dual large-calibre cannons target their marks through an unique highly accurate two-stage strike, starting with “heat-up” laser-like damage before delivering high impact energy shells onto their target. However, the high flux demands and requirement of complicated systems in utilising these weapons resulted in their slow rate of fire and expensive ordnance points. 
The Type 3 turrets are only found mounted on some of the largest warships in Auroran service as their primary guns.
",false,0,,,4:200,uaf_reputation_FAVORABLE,,,,,
#FIGHTERS,,,,,,,,,,,,,,,,
uaf_ace_fighter_1,Super Forlorn (HB),FIGHTER,uaf_ace_wing_forlorn_hb#uaf_ace_wing_forlorn_hb_ace:1:FIGHTER,points:450:POINTS,"A modernised Forlorn assault fighter designed for rapid ship striking missions whilst maintaining its famous durability as a heavy fighter. Courtesy of the High Beat Industries, the Super Forlorn features fine-tuned avionics, upgraded autocannons and updated hardpoints to carry more anti-ship missiles. This results in a strikecraft still capable of maintaining air superiority whilst capable of dealing lethal strikes to larger ships. Due to the prohibitive costs and bureaucracy, the upgraded strikecrafts only see limited deployment, with spares released by High Beat Industries into the Exchange List. ",false,0,,,1:100,uaf_reputation_FRIENDLY,,$UAFTiltedDaggerMissionPartThree_Completed<&>Completion of Tilted Dagger Quest,,,
uaf_ace_fighter_2,Hyper Aria (YM),FIGHTER,uaf_ace_wing_hyperaria#uaf_ace_wing_hyperaria_custom:1:FIGHTER,points:450:POINTS,"By far the most advanced upgrade programme ever conceived for the increasingly aging Super Aria multirole fighter design. Its development was intended to push the Aria’s potentials to its limit and compete against the Forlorn heavy fighter programme. Through redesigning its airframe, retrofitting the engines and upgraded armaments based on the lessons and new technology learnt from the Sector, the Hyper Aria serves as a highly manoeuvrable, nimble air superiority fighter. However, high development costs and political pressures nearly caused its cancellation, with the first few prototypes recovered by ARNB being released into the Exchange List for prospective pilots.",false,0,,,1:100,uaf_reputation_FRIENDLY,,$UAFTiltedDaggerMissionPartThree_Completed<&>Completion of Tilted Dagger Quest,,,
uaf_ace_fighter_3,Nekonyan MIX (FE),FIGHTER,uaf_ace_wing_nekonyan_mix#uaf_ace_wing_nekonyan_mix_fe:1:FIGHTER,points:450:POINTS,"A heavily upgraded Nekonyan strikecraft originally envisioned to be an autonomous stealth interceptor before the cancellation of several experimental features. Featuring heavily fine-tuned and upgraded engines and workable upgrades in its current form, the fighter still able to retain its manoeuvrability and speed whilst remaining durable and lethal with its upgraded armaments of improved energised guns and kinetic cluster missiles. It has a reputation for blessing its pilots with incredible luck, to the point it seems to be able to escape fate on its own. ",false,0,,,1:100,uaf_reputation_FRIENDLY,,$UAFTiltedDaggerMissionPartThree_Completed<&>Completion of Tilted Dagger Quest,,,
uaf_ace_fighter_4,Taufan II (NXP),FIGHTER,uaf_ace_wing_taufan#uaf_ace_wing_taufan_nxp:1:FIGHTER,points:450:POINTS,A Ceyaen high-performance multirole fighter which uniquely carries the Meitou Chorus missiles as its primary missile. Its capability in delivering high alpha strike whilst remaining highly manoeuvrable makes  for a popular choice amongst pilots that like the idea of nuclear-armed multirole strikecrafts. The Taufan (NXP) variant is famous for being the primary choice of the Strategic Deterrence & Intelligence Command’s ace pilots,false,0,,,1:100,uaf_reputation_FRIENDLY,,$UAFTiltedDaggerMissionPartThree_Completed<&>Completion of Tilted Dagger Quest,,,
uaf_ace_fighter_5,Freesia EX (ASF),FIGHTER,uaf_ace_wing_freesia_x#uaf_ace_wing_freesia_x_attacker:1:FIGHTER,points:450:POINTS,"Originally an unadopted design following the adoption of Forlon as the Federation’s heavy fighter, its development has since been restarted by a wealthy benefactor. Based on the lessons learnt from combats in the Sector and the best elements of Super Aria and Nekonyan’s designs, the fighter proves to be an extremely capable multirole fighter in a high stress environment where advanced avionics and responsive controls allow it to outmanuver threats and re-engage quickly without losing its advantages. Its limited production run and special circumstances meant only few people ever got their hands on it through special contacts, with some finding their ways into the Exchange List.",false,0,,,1:100,uaf_reputation_FRIENDLY,,$UAFTiltedDaggerMissionPartThree_Completed<&>Completion of Tilted Dagger Quest,,,
