name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
The Queen's Songstress,uaf_persephone_nat_songstress,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_queens_songstress,Linked hullmod.,,,graphics/icons/intel/investigation.png
,,,,,,,,,,,,,,,,,,,
#Unlisted / System / Hidden,,,,,,,,,,,,,,,,,,,
Aurorian Enforcer,uaf_aurorian_enforcer,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_aurorianEnforcer,Special blinker effect.,,,
Shield Manipulator,uaf_shield_manipulator,0,0,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_shieldForce,System script.,,,
Fighter Tender,uaf_fighterManager,0,0,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_fighterManager,System script.,,,
Limited Ammo,uaf_limitedAmmo,0,0,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_limitedAmmo,System script.,,,
UAF Modular Freighter,uaf_modularFreighter,0,0,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_modularFreighter,Modular Freighter %s,Military UAF upgrades,,graphics/hullmods/uaf_modularfreighter.png
No Landing,uaf_noLanding,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_noLanding,No landing script.,,,graphics/hullmods/reduced_explosion.png
Increased Explosion,uaf_increased_explosion,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_increasedExplosion,"Fragile cargo ship, may cause bigger explosion than ordinary ones.",Explosive Up,,
No Explosion,uaf_noExplosion,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_noExplosion,Reduced explosion radius and damage.,,,graphics/hullmods/reduced_explosion.png
#Flagship Electronic Warfare Deflector System,uaf_flagship_eccm,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_eccm,"The ECCM System implanted to the flagship of UAF Fleet, producing a massive counter electronic warfare measure with possibilities to launch the fleet's own electronic warfare capabilities.",,,
Flagship Extended Hangar,uaf_flagship_exthangar,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_exthangar,"The flagship's hangar, manned by the most trained crew, cuts down the replacement rate of airborne fighters by about 30%%, improving its efficiency and capabilities.",,,
Flagship Armour Plating,uaf_flagship_armouring,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_armouring,Improved armour plating of the flagship vulnerable modules. Increases armor by %s.,,,
,,,,,,,,,,,,,,,,,,,
#Mimic,,,,,,,,,,,,,,,,,,,
Anomalous Hull,uaf_anomalous_hull,,,Anomaly,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_anomalous_hull,They are watching you.,,,graphics/hullmods/generic_mod.png
Anomalous Hymm,uaf_anomalous_hymm,,,Anomaly,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_mimic_melody,"The voices, it sings...",,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Neuko,,,,,,,,,,,,,,,,,,,
#Neuko Directive Configuration,uaf_neuko_directive_configuration,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_neuko_directive_configuration,A special subsystem built for Automata vessels that changes the personality of assigned Neuko Core.,,,graphics/hullmods/uaf_auroranengineering.png
ADCS Automation Remover,uaf_adcs_automation_remover,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_adcs_automated_remover,Removes the automation of an Automata vessel.,System.,,graphics/hullmods/uaf_adsc_automated_remover.png
,,,,,,,,,,,,,,,,,,,
Neuko Mode: Fearless,uaf_neuko_personality_fearless,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Fearless.,System.,,graphics/hullmods/generic_mod.png
Neuko Mode: Reckless,uaf_neuko_personality_reckless,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Reckless,System.,,graphics/hullmods/generic_mod.png
Neuko Mode: Aggressive,uaf_neuko_personality_aggressive,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Aggressive.,System.,,graphics/hullmods/generic_mod.png
Neuko Mode: Steady,uaf_neuko_personality_steady,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Steady,System.,,graphics/hullmods/generic_mod.png
Neuko Mode: Cautious,uaf_neuko_personality_cautious,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Cautious.,System.,,graphics/hullmods/generic_mod.png
Neuko Mode: Timid,uaf_neuko_personality_timid,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_neuko_personality_selector,Sets the Neuko's personality into Timid.,System.,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Royal Arith ON/OFF,,,,,,,,,,,,,,,,,,,
Royal Arithmetic Control: ON,uaf_royal_arithmetic_sys_config_on,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_royal_arithmetic_config_selector,The LPC's OP cost reduction bonus is on.,System.,,graphics/hullmods/uaf_arithmetic_control_on.png
Royal Arithmetic Control: OFF,uaf_royal_arithmetic_sys_config_off,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_royal_arithmetic_config_selector,The LPC's OP cost reduction bonus is off.,System.,,graphics/hullmods/uaf_arithmetic_control_off.png
Royal Arithmetic Control Configurator,uaf_royal_arithmetic_control_configurator,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_royal_arithmetic_control_configurator,"Configuration handler.
""Don't touch this or I will break your neck.""
-Mayu",System.,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
